,Directory,filename
75,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,22-Bagavad Gita-Ch-10-Slo-19-01.mp3
76,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,23-Bagavad Gita-Ch-10-Slo-20-01.mp3
77,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,24-Bagavad Gita-Ch-10-Slo-(21-39)-jist-01.mp3
78,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,25-Bagavad Gita-Ch-10-Slo-(21-39)-jist-02.mp3
79,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,26-Bagavad Gita-Ch-10-Slo-21-01.mp3
80,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,27-Bagavad Gita-Ch-10-Slo-22-01.mp3
81,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,28-Bagavad Gita-Ch-10-Slo-(23-29)-01.mp3
82,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,29-Bagavad Gita-Ch-10-Slo-30-01.mp3
83,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,30-Bagavad Gita-Ch-10-Slo-31-01.mp3
84,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,31-Bagavad Gita-Ch-10-Slo-32-01.mp3
85,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,32-Bagavad Gita-Ch-10-Slo-33-01.mp3
86,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,33-Bagavad Gita-Ch-10-Slo-34-01.mp3
87,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,34-Bagavad Gita-Ch-10-Slo-35-01.mp3
88,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,35-Bagavad Gita-Ch-10-Slo-35-02.mp3
89,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,36-Bagavad Gita-Ch-10-Slo-36-01.mp3
90,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,37-Bagavad Gita-Ch-10-Slo-37-01.mp3
91,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,38-Bagavad Gita-Ch-10-Slo-38-01.mp3
92,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,39-Bagavad Gita-Ch-10-Slo-39-01.mp3
93,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,40-Bagavad Gita-Ch-10-Slo-40-01.mp3
94,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,41-Bagavad Gita-Ch-10-Slo-41-01.mp3
95,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,42-Bagavad Gita-Ch-10-Slo-42-01.mp3
96,E://BAGAVAT GITA\CD.No.10-CH-(9-13)\02-Bagavad Gita-Ch-10,43-Bagavad Gita-Ch-10-Ends-Palasruti-01.mp3
97,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,01-Bagavad Gita-Ch-11-San Slo-01.mp3
98,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,02-Bagavad Gita-Ch-11-Slo-01-01.mp3
99,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,03-Bagavad Gita-Ch-11-Slo-02-01.mp3
100,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,04-Bagavad Gita-Ch-11-Slo-03-01.mp3
101,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,05-Bagavad Gita-Ch-11-Slo-04-01.mp3
102,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,06-Bagavad Gita-Ch-11-Slo-05-01.mp3
103,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,07-Bagavad Gita-Ch-11-Slo-06-01.mp3
104,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,08-Bagavad Gita-Ch-11-Slo-07-01.mp3
105,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,09-Bagavad Gita-Ch-11-Slo-08-01.mp3
106,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,10-Bagavad Gita-Ch-11-Slo-09-01.mp3
107,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,11-Bagavad Gita-Ch-11-Slo-(10 & 11)-01.mp3
108,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,12-Bagavad Gita-Ch-11-Slo-12-01.mp3
109,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,13-Bagavad Gita-Ch-11-Slo-13-01.mp3
110,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,14-Bagavad Gita-Ch-11-Slo-14-01.mp3
111,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,15-Bagavad Gita-Ch-11-Slo-(15 & 16)-01.mp3
112,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,16-Bagavad Gita-Ch-11-Slo-17-01.mp3
113,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,17-Bagavad Gita-Ch-11-Slo-18-01.mp3
114,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,18-Bagavad Gita-Ch-11-Slo-19-01.mp3
115,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,19-Bagavad Gita-Ch-11-Slo-20-01.mp3
116,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,20-Bagavad Gita-Ch-11-Slo-21-01.mp3
117,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,21-Bagavad Gita-Ch-11-Slo-22-01.mp3
118,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,22-Bagavad Gita-Ch-11-Slo-23-01.mp3
119,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,23-Bagavad Gita-Ch-11-Slo-24-01.mp3
120,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,24-Bagavad Gita-Ch-11-Slo-25-01.mp3
121,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,25-Bagavad Gita-Ch-11-Slo-(26 & 27)-01.mp3
122,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,26-Bagavad Gita-Ch-11-Slo-(28 & 29)-01.mp3
123,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,27-Bagavad Gita-Ch-11-Slo-30-01.mp3
124,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,28-Bagavad Gita-Ch-11-Slo-31-01.mp3
125,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,29-Bagavad Gita-Ch-11-Slo-32-01.mp3
126,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,30-Bagavad Gita-Ch-11-Slo-33-01.mp3
127,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,31-Bagavad Gita-Ch-11-Slo-34-01.mp3
128,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,32-Bagavad Gita-Ch-11-Slo-35-01.mp3
129,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,33-Bagavad Gita-Ch-11-Slo-36-01.mp3
130,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,34-Bagavad Gita-Ch-11-Slo-37-01.mp3
131,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,35-Bagavad Gita-Ch-11-Slo-(37-2nd Half & 38-1st Half)-01.mp3
132,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,36-Bagavad Gita-Ch-11-Slo-38-2nd Half-01.mp3
133,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,37-Bagavad Gita-Ch-11-Slo-(39-1st Half)-01.mp3
134,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,38-Bagavad Gita-Ch-11-Slo-(39-2nd Half & 40-1st Half)-01.mp3
135,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,39-Bagavad Gita-Ch-11-Slo-40-2nd Half-01.mp3
136,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,40-Bagavad Gita-Ch-11-Slo-(41 & 42)-01.mp3
137,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,41-Bagavad Gita-Ch-11-Slo-43-01.mp3
138,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,42-Bagavad Gita-Ch-11-Slo-44-01.mp3
139,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,43-Bagavad Gita-Ch-11-Slo-45-01.mp3
140,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,44-Bagavad Gita-Ch-11-Slo-46-01.mp3
141,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,45-Bagavad Gita-Ch-11-Slo-47-01.mp3
142,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,46-Bagavad Gita-Ch-11-Slo-48-01.mp3
143,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,47-Bagavad Gita-Ch-11-Slo-49-01.mp3
144,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,48-Bagavad Gita-Ch-11-Slo-49-02.mp3
145,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,49-Bagavad Gita-Ch-11-Slo-50-01.mp3
146,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,50-Bagavad Gita-Ch-11-Slo-51-01.mp3
147,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,51-Bagavad Gita-Ch-11-Slo-52-01.mp3
148,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,52-Bagavad Gita-Ch-11-Slo-(53 & 54)-01.mp3
149,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\01-Bagavad Gita-Ch-11,53-Bagavad Gita-Ch-11-Ends-Slo-55-01.mp3
150,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\02-Bagavad Gita-Ch-12,01-Bagavad Gita-Ch-12-Slo-01-01.mp3
151,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\02-Bagavad Gita-Ch-12,02-Bagavad Gita-Ch-12-Slo-01-02.mp3
152,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\02-Bagavad Gita-Ch-12,03-Bagavad Gita-Ch-12-Slo-02-01.mp3
153,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\02-Bagavad Gita-Ch-12,04-Bagavad Gita-Ch-12-Slo-02-02.mp3
154,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\02-Bagavad Gita-Ch-12,05-Bagavad Gita-Ch-12-Slo-(03-05)-01.mp3
155,E://BAGAVAT GITA\CD.No.11-CH-(9-13)\02-Bagavad Gita-Ch-12,06-Bagavad Gita-Ch-12-Slo-(03-05)-02.mp3
156,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,07-Bagavad Gita-Ch-12-Slo-(06 & 07)-01.mp3
157,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,08-Bagavad Gita-Ch-12-Slo-(06 & 07)-02.mp3
158,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,09-Bagavad Gita-Ch-12-Slo-08-01.mp3
159,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,10-Bagavad Gita-Ch-12-Slo-09-01.mp3
160,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,11-Bagavad Gita-Ch-12-Slo-10-01.mp3
161,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,12-Bagavad Gita-Ch-12-Slo-11-01.mp3
162,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,13-Bagavad Gita-Ch-12-Slo-11-02.mp3
163,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,14-Bagavad Gita-Ch-12-Slo-12-01.mp3
164,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,15-Bagavad Gita-Ch-12-Slo-(13 & 14)-01.mp3
165,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,16-Bagavad Gita-Ch-12-Slo-(13 & 14)-02.mp3
166,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,17-Bagavad Gita-Ch-12-Slo-15-01.mp3
167,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,18-Bagavad Gita-Ch-12-Slo-16-01.mp3
168,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,19-Bagavad Gita-Ch-12-Slo-(17-19)-01.mp3
169,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\01-Bagavad Gita-Ch-12,20-Bagavad Gita-Ch-12-Ends-Slo-20-01.mp3
170,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,01-Bagavad Gita-Ch-13-San.Slo-01.mp3
171,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,02-Bagavad Gita-Ch-13-Slo-01-02.mp3
172,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,03-Bagavad Gita-Ch-13-Slo-02-01.mp3
173,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,04-Bagavad Gita-Ch-13-Slo-02-02.mp3
174,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,05-Bagavad Gita-Ch-13-Slo-03-01.mp3
175,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,06-Bagavad Gita-Ch-13-Slo-04-01.mp3
176,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,07-Bagavad Gita-Ch-13-Slo-04-02.mp3
177,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,08-Bagavad Gita-Ch-13-Slo-04-03.mp3
178,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,09-Bagavad Gita-Ch-13-Slo-04-04.mp3
179,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,10-Bagavad Gita-Ch-13-Slo-(05 & 06)-01.mp3
180,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,11-Bagavad Gita-Ch-13-Slo-07-01.mp3
181,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,12-Bagavad Gita-Ch-13-Slo-08-01.mp3
182,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,13-Bagavad Gita-Ch-13-Slo-09-01.mp3
183,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,14-Bagavad Gita-Ch-13-Slo-10-01.mp3
184,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,15-Bagavad Gita-Ch-13-Slo-11-01.mp3
185,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,16-Bagavad Gita-Ch-13-Slo-13-01.mp3
186,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,17-Bagavad Gita-Ch-13-Slo-14-01.mp3
187,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,18-Bagavad Gita-Ch-13-Slo-15-01.mp3
188,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,19-Bagavad Gita-Ch-13-Slo-16-01.mp3
189,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,20-Bagavad Gita-Ch-13-Slo-17-01.mp3
190,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,21-Bagavad Gita-Ch-13-Slo-18-01.mp3
191,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,22-Bagavad Gita-Ch-13-Slo-19-01.mp3
192,E://BAGAVAT GITA\CD.No.12-CH-(9-13)\02-Bagavad Gita-Ch-13,23-Bagavad Gita-Ch-13-Slo-20-01.mp3
